,,release_date,movie,production_budget,domestic_gross,year,month,title_year,title,studio,primary_name,primary_title,genres,movie_id,return,percent_return,bucket,scaled_value,bucket_low,bucket_high,bucket_mean
HighProducer,3957,2015-10-30,Scouts Guide to the Zombie Apocalypse,15000000,3703046,2015,10,Scouts Guide to the Zombie Apocalypse2015,Scouts Guide to the Zombie Apocalypse,Par.,Todd Garner,Scouts Guide to the Zombie Apocalypse,"Action,Comedy,Horror",tt1727776,-11296954,0.24686973333333334,1,2.0,5200000.0,15000000.0,7655981.445714286
HighProducer,3969,2016-09-09,The Disappointments Room,15000000,2423467,2016,9,The Disappointments Room2016,The Disappointments Room,Rela.,Ryan Kavanaugh,The Disappointments Room,"Drama,Horror,Thriller",tt2364897,-12576533,0.16156446666666666,1,2.0,5200000.0,15000000.0,7655981.445714286
HighProducer,4109,2014-10-10,St. Vincent,13000000,44137712,2014,10,St. Vincent2014,St. Vincent,Wein.,Peter Chernin,St. Vincent,"Comedy,Drama",tt2170593,31137712,3.3952086153846155,1,1.7959183673469388,5200000.0,15000000.0,7655981.445714286
HighProducer,4112,2014-07-02,Earth to Echo,13000000,38934842,2014,7,Earth to Echo2014,Earth to Echo,Rela.,Ryan Kavanaugh,Earth to Echo,"Adventure,Family,Sci-Fi",tt2183034,25934842,2.994987846153846,1,1.7959183673469388,5200000.0,15000000.0,7655981.445714286
HighProducer,4176,2014-09-12,The Drop,12600000,10724389,2014,9,The Drop2014,The Drop,FoxS,Peter Chernin,The Drop,"Crime,Drama",tt1600196,-1875611,0.8511419841269842,1,1.7551020408163265,5200000.0,15000000.0,7655981.445714286
HighProducer,4212,2014-06-06,The Fault in Our Stars,12000000,124872350,2014,6,The Fault in Our Stars2014,,,Wyck Godfrey,The Fault in Our Stars,"Drama,Romance",tt2582846,112872350,10.406029166666666,1,1.693877551020408,5200000.0,15000000.0,7655981.445714286
HighProducer,4215,2012-04-20,Think Like a Man,12000000,91547205,2012,4,Think Like a Man2012,Think Like a Man,SGem,Will Packer,Think Like a Man,"Comedy,Romance",tt1621045,79547205,7.62893375,1,1.693877551020408,5200000.0,15000000.0,7655981.445714286
HighProducer,4243,2015-07-24,Paper Towns,12000000,32000304,2015,7,Paper Towns2015,Paper Towns,Fox,Wyck Godfrey,Paper Towns,"Comedy,Drama,Mystery",tt3622592,20000304,2.666692,1,1.693877551020408,5200000.0,15000000.0,7655981.445714286
HighProducer,4403,2013-12-06,Inside Llewyn Davis,11000000,13248209,2013,12,Inside Llewyn Davis2013,Inside Llewyn Davis,CBS,Scott Rudin,Inside Llewyn Davis,"Drama,Music",tt2042568,2248209,1.2043826363636363,1,1.5918367346938775,5200000.0,15000000.0,7655981.445714286
HighProducer,4459,2018-01-05,Insidious: The Last Key,10000000,67745330,2018,1,Insidious: The Last Key2018,Insidious: The Last Key,Uni.,Jason Blum,Insidious: The Last Key,"Horror,Mystery,Thriller",tt5726086,57745330,6.774533,1,1.489795918367347,5200000.0,15000000.0,7655981.445714286
HighProducer,4477,2018-03-16,"Love, Simon",10000000,40826341,2018,3,"Love, Simon2018","Love, Simon",Fox,Wyck Godfrey,"Love, Simon","Comedy,Drama,Romance",tt5164432,30826341,4.0826341,1,1.489795918367347,5200000.0,15000000.0,7655981.445714286
HighProducer,4521,2015-08-21,Sinister 2,10000000,27740955,2015,8,Sinister 22015,Sinister 2,Focus,Jason Blum,Sinister 2,"Horror,Mystery,Thriller",tt2752772,17740955,2.7740955,1,1.489795918367347,5200000.0,15000000.0,7655981.445714286
HighProducer,4756,2016-10-21,Ouija: Origin of Evil,9000000,35144505,2016,10,Ouija: Origin of Evil2016,Ouija: Origin of Evil,Uni.,Jason Blum,Ouija: Origin of Evil,"Drama,Horror,Mystery",tt4361050,26144505,3.904945,1,1.3877551020408163,5200000.0,15000000.0,7655981.445714286
HighProducer,4936,2011-09-16,Restless,8000000,163753,2011,9,Restless2011,,,Brian Grazer,Restless,"Drama,Romance",tt1498569,-7836247,0.020469125,1,1.2857142857142856,5200000.0,15000000.0,7655981.445714286
HighProducer,5131,2018-05-11,Breaking In,6000000,46840590,2018,5,Breaking In2018,,,Will Packer,Breaking In,"Action,Crime,Drama",tt7137846,40840590,7.806765,1,1.0816326530612246,5200000.0,15000000.0,7655981.445714286
HighProducer,5153,2018-11-30,The Possession of Hannah Grace,6000000,14836174,2018,11,The Possession of Hannah Grace2018,The Possession of Hannah Grace,SGem,Todd Garner,The Possession of Hannah Grace,"Horror,Mystery,Thriller",tt5734576,8836174,2.4726956666666666,1,1.0816326530612246,5200000.0,15000000.0,7655981.445714286
HighProducer,5275,2017-02-24,Get Out,5000000,176040665,2017,2,Get Out2017,Get Out,Uni.,Jason Blum,Get Out,"Horror,Mystery,Thriller",tt5052448,171040665,35.208133,0,1.0,9000.0,5000000.0,5617186.473118279
